Filename,Baseline,TopMargin,LetterSize,LineSpacing,WordSpacing,PenPressure,SlantAngle
img5.png,-0.16,27.0,3.0,153.33,22.56,194.54,30
img1501.png,3.38,7.2,8.33,8.88,7.22,191.91,15
img23d.png,11.31,4.62,23.6,2.08,2.11,206.39,-30
img401.png,-9.54,1.07,71.0,0.46,0.0,182.4,15
img2901.png,-1.77,1.19,27.0,4.36,1.98,176.87,15
img601.png,-10.43,1.03,58.0,0.76,0.92,189.7,15
img201.png,-11.04,3.9,24.33,5.73,1.81,184.48,15
img15.png,-1.65,1.6,25.64,0.83,0.67,204.13,-5
img2001.png,-0.17,5.42,9.6,6.69,5.62,184.36,15
img27.png,-0.44,6.57,7.0,15.43,9.71,173.9,-15
img1901.png,3.98,3.28,18.0,2.5,3.74,190.51,5
img24.png,-1.26,0.77,10.4,4.75,3.58,175.65,180
img3.png,-0.4,0.0,8.75,5.57,7.27,180.96,45
img4.png,-2.71,20.8,2.5,80.0,13.34,183.01,30
img29d.png,7.18,7.05,15.6,2.81,2.32,194.26,-30
img1701.png,4.18,2.9,40.33,1.61,0.89,198.5,15
img17.png,-0.85,2.59,16.57,3.28,2.49,194.95,-5
img10.png,-1.98,1.81,21.0,3.23,0.67,196.24,30
img1.png,-0.23,4.58,15.5,4.27,1.51,182.46,45
img501.png,-9.54,1.07,71.0,0.46,0.0,182.4,15
img29.png,-0.52,7.2,13.33,0.8,1.97,171.42,180
img16.png,-1.31,1.73,24.33,1.93,2.66,193.2,-5
img8.png,-0.21,2.67,19.44,1.59,0.78,194.8,45
img20.png,0.65,3.77,14.86,3.76,0.8,199.15,-30
img24d.png,16.46,3.05,26.2,1.79,1.48,205.41,-30
img18.png,-1.05,0.29,55.0,1.65,1.62,199.24,-15
img30d.png,5.22,7.09,17.2,3.31,2.9,194.96,-30
img1201.png,3.25,19.11,4.5,22.89,8.79,181.43,15
img19.png,3.68,6.19,10.5,13.43,5.52,198.84,-5
img2801.png,-7.28,2.74,61.0,1.02,1.01,160.05,15
img12.png,-0.38,9.58,10.75,4.17,1.43,189.78,-30
img901.png,-11.16,1.7,39.5,2.22,2.01,190.4,30
img13.png,-0.0,3.82,11.25,4.64,2.52,196.81,-15
img26.png,-0.77,7.71,3.5,24.71,14.87,173.37,180
img1101.png,0.13,3.29,21.25,3.72,0.89,191.19,15
img28d.png,9.86,4.09,22.75,3.88,1.6,200.49,-30
img2701.png,-2.47,2.89,37.75,2.13,1.61,182.82,15
img801.png,-8.92,1.7,21.8,3.77,2.84,179.3,15
img301.png,-12.99,0.33,33.67,2.75,1.36,206.8,15
img22d.png,13.92,8.91,18.75,4.04,3.47,203.44,-30
img30.png,0.17,8.21,12.67,0.82,2.13,175.96,180
img2201.png,0.0,43.5,2.0,20.5,18.7,169.01,15
img21d.png,15.6,7.29,21.0,2.16,1.65,204.54,-30
img27d.png,6.69,3.53,21.8,2.26,2.0,203.81,-30
img7.png,-0.33,3.93,20.6,0.99,0.69,192.84,30
img23.png,-0.67,0.19,10.6,4.34,4.21,176.64,180
img2101.png,0.0,43.5,2.0,20.5,18.7,169.01,15
img25.png,1.31,3.33,9.0,1.89,8.44,169.94,0
img26d.png,21.21,3.98,21.33,3.84,2.09,201.76,-30
img22.png,-2.14,4.26,16.67,1.74,0.6,165.8,180
img21.png,-0.86,6.83,10.4,3.62,4.28,179.25,180
img9.png,-0.42,1.95,14.33,4.65,2.06,174.71,30
img1801.png,1.44,11.6,10.0,8.4,7.19,192.5,15
img1401.png,1.93,0.82,22.0,3.8,0.67,189.36,15
img1001.png,-12.09,6.62,16.0,8.47,4.34,179.67,15
img3001.png,-0.66,1.14,42.25,1.76,1.35,145.46,5
img2.png,-0.81,4.49,17.38,2.03,1.37,174.82,30
img1301.png,3.24,5.28,11.75,6.26,4.22,191.52,30
img6.png,-0.54,5.36,13.82,1.74,2.19,183.76,30
img28.png,-0.36,6.4,15.0,0.76,3.08,177.06,180
img25d.png,9.63,5.19,21.4,2.73,2.81,203.3,-30
img2601.png,0.0,5.47,19.0,4.42,3.46,173.04,5
img14.png,-0.38,1.49,29.5,1.29,1.37,203.79,-15
